Year,WACI_MV,WACI_VW,CF_MV,CF_VW
2013,2355.1997808029746,191.51430209786733,1431.1468392861586,227.9315814378534
2014,1705.0562537083097,175.88117799161714,1375.3098092582884,209.1463926945402
2015,1722.6988365709017,346.23793653759697,965.0337233837079,217.5362844162682
2016,2874.24574208079,443.45814484331305,726.6003740014968,265.11644629574886
2017,1992.5038032071752,517.2876877265007,680.8349872917654,232.77169483685014
2018,1622.7616279564386,395.54077286096117,949.1134944110089,181.3526352040792
2019,1190.9735226740615,300.37190715462305,696.9137843050073,194.76483248079631
2020,1105.927178244604,242.43828595401305,666.3836793859464,155.03978574312208
2021,1300.8678984212604,201.5374206827714,869.2360376944182,151.6312846229167
2022,713.5780614623851,228.038805112986,520.083869950963,152.7499107133157
2023,352.829887915533,205.50853841997335,444.3476097470151,155.02705289637964
2024,419.0956999535149,204.75028905283324,454.6073635572504,147.75891742561842
