ISIN,Name,Avg_CI
HK0006000050,POWER ASSETS HOLDINGS,39849.78837730264
HK0836012952,CHINA RESOURCES POWER,12989.314787451096
HK2380027329,CHIN.PWR.INTDVT.,10309.367527399501
BMG2178K1009,CKI HOLDINGS,9320.964040170486
JP3551200003,ELEC.POWER DEV.,6769.093526164276
JP3400900001,SUMITOMO OSAKA CEMENT,4501.67212915729
HK0002007356,CLP HOLDINGS,3505.069201452298
JP3845400005,HOKURIKU ELEC.POWER,3291.478366486305
SG1R50925390,SEMBCORP INDUSTRIES,2760.902299664977
JP3449020001,TAIHEIYO CEMENT,2610.6822861200308
